Project_Id2,Project_Legal_Name2,Project__2,Region_Code2,Country_Name2,Practice_Group_Code2,Responsible_VPU2,Responsible_Department2,Global_Practice_Name2,Contributing_GP_Global_Themes2,Staff_Full_Name2,Team_Leaders2,Requesting_Unit2,Responsible_Unit2,FY_Number2,Fiscal_Quarter_Name2,Project_Probability_Code_,Approval_Authority_Flag2,Board_Schedule_Status2,Project_Decision_Meeting_Type_Name_,Project_Full_Board_Discussion_Flag_,Product_Line_Code2,Lendng_Instrument_Instrument_Type_Name_,P4R_With_IPF_Indicator2,Processing_Track_Indicator2,MPA2,Additional_Financing_Flag2,FCC_Indicator2,Emergency_Flag2,Emergency_Response2,Parent_Project_Id2,Environment_Assessment_Code2,Frame_Work2,ESRC__from_ESMS_2,Environmental_Risk_Name2,Project_Environment_Social_Risk_Name_,Project_Overall_Risk_,Project_Volcker_Trigger_Indicator_,Project_Last_Stage_Reached_,Total_Commitment1,IBRD_Total_Commitment1,IDA_Total_Commitment1,Others_Total_Commitment1,PE_Cofinance1,AIS_Sign_Off_Date2,Concept_Review_Date2,Concept_Review_Status2,Disclosure_Of_Concept_PID_Date2,Concept_ESRS_Date2,Quality_Enhancement_Review_Date2,Project_Milestone_Decision_Review_Date_,Decision_Review_Status2,Disclosure_Of_Appraisal_PID_Date2,Appraisal_ESRS_Date2,Begin_Appraisal_Date2,Begin_Appraisal_Status2,Authorize_Negotiations_Date2,Authorize_Negotiations_Status2,SECPO_Date2,SECPO_Status2,Project_Milestone_Approval_Date_,Approval_Status2,FY_Exp__BB___TF1,Cum__Exp__BB___TF1,DDO2,CATASTROPHE_DDO_FLAG2,IPF_Fragile_State_Indicator2,IPF_Fragile_With_Non_Fragile_Country_Indicator2,FCC_Small_States_Indicator2,FCC_Post_Conflict_Indicator2,FCC_Disaster_Indicator2,Financial_Intermediaries2,Performance_Based_Conditions2,Contingent_Emergency_Response_Component2,Alternative_Procurement_Arrangement2,Series_of_Projects__SOP_2,Textbox171,Textbox7,Textbox81,Textbox83,Textbox85,Textbox87,Textbox89,Textbox127,Textbox129
P163353,Nigeria Rural Access and Agricultural Marketing Project,1,AFW,Nigeria,GGIVP,AFWVP,IAWDR,Transport,Agriculture and Food,"Souhaid, Anne Cecile Sophie",Rakesh Tripathi (ADM);Samuel Taffesse;Ajara Ceesay,AWCW2,IAWT3,2020,Q3,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,B,Safeguards,,,,S,,Bank Approved,$280.00M,$0.00M,$280.00M,$0.00M,$0.00M,11-May-2017,01-Jun-2017,A,30-Jun-2017,,,08-Aug-2018,A,27-Oct-2019,,16-Sep-2019,A,03-Nov-2019,A,,,18-Feb-2020,A,$186.59K,"$3,785.65K",N,,,,,,,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P172592,Climate Resilient and Sustainable Agriculture Project,1,LCR,Belize,GGSVP,LCRVP,SLCDR,Agriculture and Food,"Gender Urban, Resilience and Land Water","Arias Carballo, Diego",Melissa Brown (ADM),LCC3C,SLCAG,2022,Q3,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Moderate,Moderate,Moderate,M,,Bank Approved,$25.00M,$25.00M,$0.00M,$0.00M,$0.00M,15-Oct-2019,04-Feb-2020,A,13-May-2021,22-Jul-2020,11-Aug-2020,23-Nov-2021,A,25-Dec-2021,02-Mar-2022,06-Dec-2021,A,04-Feb-2022,A,17-Feb-2022,A,14-Mar-2022,A,$137.59K,"$1,385.45K",N,,,,Yes,,,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P178557,Integrated Sustainable Mobility Project in the Foz do Rio Itajaí Region,1,LCR,Brazil,GGIVP,LCRVP,ILCDR,Transport,"Finance, Competitiveness and Innovation Gender Social Sustainability and Inclusion Social Protection & Jobs","Bianchi Alves, Bianca",Carlos Bellas Lamas (ADM);Georges Darido;Tais Fonseca De Medeiros,LCC5C,ILCT1,2024,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Substantial,Substantial,Substantial,S,,Bank Approved,$90.00M,$90.00M,$0.00M,$0.00M,$0.00M,23-Dec-2021,31-May-2022,A,29-Jun-2022,27-Jun-2022,16-Dec-2022,16-Feb-2023,A,17-Mar-2023,17-Mar-2023,17-Mar-2023,A,14-Nov-2023,A,22-Mar-2024,A,12-Apr-2024,A,$200.28K,"$1,315.02K",N,,,,,,No,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P173975,"Georgia Relief and Recovery for Micro, Small, and Medium Enterprises",1,ECA,Georgia,GGEVP,ECAVP,EECDR,"Finance, Competitiveness and Innovation",Agriculture and Food Digital Development Poverty and Equity Social Protection & Jobs,"Niang, Cecile Thioro",Natalia Tsivadze (ADM);Lucero Burga Bravo De Rueda,ECCSC,EECF1,2021,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,Y,"COVID-19 (Pillar 4: Policies/Institutions), COVID-19 (Pillar 3: Business Growth/Job Creation), Financing not related to a Response Type",,,ESF,Substantial,Substantial,Substantial,M,,Bank Approved,$102.90M,$102.90M,$0.00M,$0.00M,$0.00M,10-Apr-2020,19-Oct-2020,A,16-Nov-2020,11-Nov-2020,11-Nov-2020,03-Dec-2020,A,18-Mar-2021,11-May-2021,18-Mar-2021,A,24-Mar-2021,A,20-Apr-2021,A,11-May-2021,A,$54.94K,$768.77K,N,,,,,,,Yes,Yes,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P179749,Uttarakhand Disaster Preparedness and Resilience Project,1,SAR,India,GGIVP,SARVP,ISADR,"Urban, Resilience and Land","Climate Change Environment, Natural Resources & the Blue Economy Social Sustainability and Inclusion Transport","Jha, Abhas Kumar",Wanli Fang (ADM);B K M Islam,SACIN,ISARF,2024,Q4,A,BOA,Board Approved,,,PE,IPF,N/A,1,N,N,N,N,,,,ESF,Substantial,Substantial,Substantial,M,,Bank Approved,$135.00M,$135.00M,$0.00M,$0.00M,$0.00M,18-Aug-2022,27-Mar-2023,A,04-Apr-2023,03-May-2023,25-Sep-2023,,,16-Nov-2023,11-Mar-2024,16-Nov-2023,A,14-Dec-2023,A,13-Mar-2024,A,01-Apr-2024,A,$424.87K,"$1,404.83K",N,,,,,,No,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P174531,Jamaica COVID-19 Response and Recovery Development Policy Financing,1,LCR,Jamaica,GGEVP,LCRVP,ELCDR,"Macroeconomics, Trade and Investment","Finance, Competitiveness and Innovation Health, Nutrition & Population Poverty and Equity Social Protection & Jobs","Mahdi, Shireen",Rohan Longmore (ADM);Fadwa Bennani,LCC3C,ELCMU,2021,Q3,A,BOA,Board Approved,Regional Operations,,PE,DPF,N/A,N/A,N,N,N,Y,"COVID-19 (Pillar 1: Saving Lives - General Health Response), COVID-19 (Pillar 4: Policies/Institutions), COVID-19 (Pillar 3: Business Growth/Job Creation), COVID-19 (Pillar 2: Protecting Poor/Vulnerable)",,,N/A,,,,M,,Bank Approved,$150.00M,$150.00M,$0.00M,$0.00M,$0.00M,16-Jun-2020,16-Dec-2020,A,14-Dec-2020,18-Mar-2021,,14-Jan-2021,A,26-Jan-2021,18-Mar-2021,,,28-Jan-2021,A,18-Feb-2021,A,18-Mar-2021,A,,$259.77K,N,,,,,,,No,No,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P174007,Ulaanbaatar Sustainable Urban Transport Project,1,EAP,Mongolia,GGIVP,EAPVP,IEADR,Transport,,"Eijbergen, Benedictus",Edward Beukes (ADM);Clemens Portenlaenger,EACMK,IEAT1,2021,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Substantial,Substantial,Substantial,S,,Bank Approved,$100.00M,$100.00M,$0.00M,$0.00M,$0.00M,17-Apr-2020,13-Dec-2020,A,13-Dec-2020,21-Dec-2020,,07-Apr-2021,A,21-Apr-2021,23-Jun-2021,21-Apr-2021,A,30-Apr-2021,A,01-Jun-2021,A,23-Jun-2021,A,$352.02K,"$1,862.98K",N,,,,,,,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P175188,COVID-19 HEALTH EMERGENCY RESPONSE PROJECT,1,AFE,Kenya,GGHVP,AFEVP,HAEDR,"Health, Nutrition & Population",,"Akala, Francisca Ayodeji",Jane Chuma (ADM);Toni Kuguru,AECE2,HAEH2,2021,Q3,A,BOA,Board Approved,,,PE,IPF,N/A,N/A,Y,Y,,Y,,P173820,,ESF,,,,,,Bank Approved,$50.00M,$0.00M,$50.00M,$0.00M,$6.43M,23-Aug-2020,,,,,,07-Oct-2020,A,16-Nov-2020,21-Jan-2021,26-Oct-2020,A,02-Dec-2020,A,23-Dec-2020,A,21-Jan-2021,A,,$41.08K,N,,,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P172940,Benin Health System Enhancement Program (P172940),1,AFW,Benin,GGHVP,AFWVP,HAWDR,"Health, Nutrition & Population",,"Zine Eddine El Idrissi, My Driss",Netsanet Workie (ADM);Fatoumata Barry,AWCF2,HAWH2,2022,Q4,A,BOA,Board Approved,Decision Meeting,,PE,PforR,N,N/A,N,N,N,Y,"Financing not related to a Response Type, COVID-19 (Pillar 1: Saving Lives - General Health Response), COVID-19 (Pillar 4: Policies/Institutions)",,,N/A,,,,M,,Bank Approved,$187.00M,$0.00M,$187.00M,$0.00M,$0.00M,26-Nov-2019,27-Dec-2020,A,23-Dec-2020,27-Apr-2022,08-Mar-2021,21-Dec-2021,A,06-May-2021,27-Apr-2022,11-Mar-2021,A,09-Mar-2022,A,06-Apr-2022,A,27-Apr-2022,A,$246.63K,$911.88K,N,,,,,,,No,No,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P166239,Innovation Development and Effectiveness in the Acquisition of Skills (IDEAS) Project,1,AFW,Nigeria,GGHVP,AFWVP,HAWDR,Education,"Finance, Competitiveness and Innovation Governance","Latif, Scherezad Joya Monami",Dilip Parajuli (ADM);Mistura Rufai,AWCW2,HAWE3,2020,Q3,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,B,Safeguards,,,,S,,Bank Approved,$200.00M,$0.00M,$200.00M,$0.00M,$0.00M,09-Jan-2018,07-Jun-2018,A,13-Aug-2018,,23-Apr-2019,26-Aug-2019,A,13-Sep-2019,,29-Aug-2019,A,21-Oct-2019,A,,,18-Feb-2020,A,$128.00K,"$1,630.04K",N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P172399,Support to Parcelization of Lands for Individual Titling (SPLIT) Project,1,EAP,Philippines,GGIVP,EAPVP,IEADR,"Urban, Resilience and Land",Agriculture and Food,"Kim, Yoonhee",Kathrine Kelm (ADM);Maria Quinones;Sarah Antos,EAPMB,IEAU2,2020,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,High,Substantial,High,S,,Bank Approved,$370.00M,$370.00M,$0.00M,$0.00M,$0.00M,16-Sep-2019,17-Nov-2019,A,15-Nov-2019,15-Nov-2019,,03-Feb-2020,A,04-Mar-2020,26-Jun-2020,04-Mar-2020,A,30-Mar-2020,A,,,26-Jun-2020,A,$366.68K,"$4,598.26K",N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P175043,Gulf of Guinea Northern Regions Social Cohesion project,1,AFW,Western and Central Africa,GGSVP,AFWVP,SAWDR,Social Sustainability and Inclusion,"Agriculture and Food Digital Development Fragile, Conflict & Violence Gender","Peeters, Pia",Susan Wong (ADM);Julia Lendorfer;Ashutosh Raina;Manuel Figueredo Thomson,AFWRI,SAWS4,2022,Q3,C,BOA,Draft,Decision Meeting,,PE,IPF,N/A,2,N,N,N,Y,"Financing not related to a Response Type, COVID-19 (Pillar 3: Business Growth/Job Creation), COVID-19 (Pillar 2: Protecting Poor/Vulnerable)",,,ESF,Substantial,Substantial,Substantial,S,,Bank Approved,$450.00M,$0.00M,$450.00M,$0.00M,$0.00M,12-Aug-2020,22-Dec-2020,A,18-Dec-2020,21-Dec-2020,,01-Dec-2021,A,28-Jan-2022,31-Mar-2022,02-Dec-2021,A,18-Feb-2022,A,10-Mar-2022,A,31-Mar-2022,A,$625.19K,"$3,649.06K",N,,,,,,,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P178492,Zambia Devolution Support Program,1,AFE,Zambia,GGEVP,AFEVP,EAEDR,Governance,,"Vargas Madrigal, Manuel Antonio",Donna Andrews (ADM);Lobna Abdellatif Ahmed,AECE1,EAEG1,2022,Q4,A,BOA,Board Approved,Regional Operations,,PE,PforR,Y,N/A,N,N,N,N,,,,ESF,Moderate,Moderate,Moderate,M,,Bank Approved,$210.00M,$0.00M,$210.00M,$0.00M,$0.00M,09-Dec-2021,03-Mar-2022,A,21-Mar-2022,21-Mar-2022,14-Mar-2022,12-May-2022,A,20-May-2022,28-Jun-2022,18-May-2022,A,25-May-2022,A,05-Jun-2022,A,28-Jun-2022,A,$285.81K,$810.19K,N,,,,,,,No,No,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P171827,Sahel Women Empowerment and Demographic Dividend - AF Phase 2,1,AFW,Western and Central Africa,GGHVP,AFWVP,HAWDR,"Health, Nutrition & Population",Agriculture and Food Education Governance Social Protection & Jobs,"Hasan, Rifat Afifa",Margareta Harrit (ADM);Djibrilla Karamoko;Christophe Lemiere,AFWRI,HAWH3,2020,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,Y,,P150080,C,Safeguards,,,,,,Bank Approved,$376.00M,$0.00M,$376.00M,$0.00M,$0.00M,28-Nov-2019,,,,,,03-Mar-2020,A,30-Mar-2020,28-May-2020,05-Mar-2020,R,08-Apr-2020,A,,,28-May-2020,A,$1.59K,$254.85K,N,,Yes,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P171266,Agriculture Resilience and Competitiveness Project,1,ECA,Bosnia and Herzegovina,GGSVP,ECAVP,SCADR,Agriculture and Food,Water,"Kray, Holger A.",Augusto Garcia (ADM),ECCWB,SCAAG,2022,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Substantial,Substantial,Substantial,M,,Bank Approved,$68.50M,$68.50M,$0.00M,$0.00M,$0.00M,01-Nov-2019,03-Aug-2020,A,22-Aug-2020,05-Oct-2020,15-Apr-2021,30-Jun-2021,A,22-Jul-2021,07-Apr-2022,12-Jul-2021,A,27-Jul-2021,A,17-Mar-2022,A,07-Apr-2022,A,$92.55K,"$1,079.17K",N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P167588,Digital Government for Resilience,1,LCR,Grenada,GGDVP,LCRVP,DLCDR,Digital Development,,"Martinez Mancilla, Yolanda",C. Myers (ADM);Raman Krishnan,LCC3C,DLCDD,2020,Q1,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Moderate,Low,Moderate,M,,Bank Approved,$15.00M,$0.00M,$15.00M,$0.00M,$0.00M,11-May-2018,01-Nov-2018,A,12-Dec-2018,29-Aug-2019,11-Mar-2019,09-May-2019,A,28-May-2019,29-Aug-2019,20-May-2019,A,20-Jun-2019,A,,,29-Aug-2019,A,$88.54K,"$1,155.61K",N,,,,Yes,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P167757,Sierra Leone SSN Project Second Additional Financing,1,AFW,Sierra Leone,GGHVP,AFWVP,HAWDR,Social Protection & Jobs,"Finance, Competitiveness and Innovation Health, Nutrition & Population","Holmemo, Camilla",Sarah Coll-Black (ADM);Abu Kargbo,AWCW1,HAWS3,2020,Q1,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,N,,P143588,C,Safeguards,,,,M,,Bank Approved,$30.00M,$0.00M,$30.00M,$0.00M,$1.00M,27-Sep-2018,,,,,,12-Apr-2019,A,25-Apr-2019,,26-Apr-2019,A,03-May-2019,A,,,01-Jul-2019,A,,$186.68K,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P178734,El Salvador Water Sector Resilience Project,1,LCR,El Salvador,GGSVP,LCRVP,SLCDR,Water,"Environment, Natural Resources & the Blue Economy Gender","Michaud, David",Lizmara Kirchner (ADM);Maria Gonzalez Perez,LCC2C,SLCWA,2023,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Substantial,Moderate,Substantial,S,,Bank Approved,$100.00M,$100.00M,$0.00M,$0.00M,$0.00M,14-Feb-2022,29-Jun-2022,A,02-Sep-2022,27-Apr-2023,17-Jan-2023,23-Feb-2023,A,14-Mar-2023,27-Apr-2023,15-Mar-2023,A,20-Mar-2023,A,30-Mar-2023,A,27-Apr-2023,A,$164.33K,$896.55K,N,,,,,,,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P178303,Inclusive and Sustainable Economic Growth,1,ECA,Kazakhstan,GGEVP,ECAVP,EECDR,"Macroeconomics, Trade and Investment","Digital Development Energy & Extractives Environment, Natural Resources & the Blue Economy Governance","Nucifora, Antonio",Natasha Sharma (ADM);Manuel Berlengiero,ECCCA,EECM1,2024,Q3,A,BOA,Board Approved,Regional Operations,Y,PE,DPF,N/A,N/A,N,N,N,N,,,,N/A,,,,M,,Bank Approved,$600.00M,$600.00M,$0.00M,$0.00M,$0.00M,12-Nov-2021,18-Oct-2023,A,23-Oct-2023,,,09-Nov-2023,A,22-Dec-2023,,,,06-Jan-2024,A,24-Jan-2024,A,14-Mar-2024,A,$0.14K,$820.68K,N,,,,,,,No,No,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P172014,Pacific Resilience Project II under the Pacific Resilience Program,1,EAP,Marshall Islands,GGSVP,EAPVP,SEADR,"Environment, Natural Resources & the Blue Economy","Urban, Resilience and Land","Crepin, Christophe",Ning Yang (ADM);Simone Esler,EAPCF,SEAE1,2020,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,N,Y,,Y,,P160096,B,Safeguards,,,,,,Bank Approved,$15.37M,$0.00M,$15.37M,$0.00M,$25.00M,11-Aug-2019,,,,,,19-Feb-2020,A,05-Mar-2020,,05-Mar-2020,A,13-Mar-2020,A,,,24-Apr-2020,A,,$107.72K,N,,Yes,,Yes,,,No,,Yes,No,Yes,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176528,AF for Georgia Emergency COVID-19 Response Project,1,ECA,Georgia,GGHVP,ECAVP,HECDR,"Health, Nutrition & Population",,"Menon, Rekha",Volkan Cetinkaya (ADM),ECCSC,HECHN,2021,Q4,A,RVP,Draft,Regional Operations,,PE,IPF,N/A,N/A,Y,Y,,Y,,P173911,,ESF,,,,,,Bank Approved,$34.50M,$34.50M,$0.00M,$0.00M,$0.00M,12-Mar-2021,,,,,,28-Apr-2021,A,12-May-2021,07-Jun-2021,10-May-2021,A,19-May-2021,A,08-Jun-2021,A,07-Jun-2021,A,,$44.39K,N,,,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176352,Tunisia COVID-19 Social Protection Emergency Response Support Project,1,MNA,Tunisia,GGHVP,MNAVP,HMNDR,Social Protection & Jobs,Education,"Ridao-Cano, Cristobal",Mohamed Ben Ghachem (ADM);Erkin Mamadaliev,MNC01,HMNSP,2021,Q3,A,BOA,Board Approved,Regional Operations,,PE,IPF,N/A,2,N,N,Y,Y,"Financing not related to a Response Type, COVID-19 (Pillar 4: Policies/Institutions), COVID-19 (Pillar 2: Protecting Poor/Vulnerable)",,,ESF,Substantial,Moderate,Substantial,S,,Bank Approved,$300.00M,$300.00M,$0.00M,$0.00M,$18.00M,02-Feb-2021,,,,,,01-Mar-2021,A,15-Mar-2021,31-Mar-2021,15-Mar-2021,A,16-Mar-2021,A,22-Mar-2021,A,31-Mar-2021,A,$408.43K,"$1,884.02K",N,,,,,,Yes,No,Yes,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P175837,Additional Financing for and Restructuring of the COVID-19 Emergency Response and Pandemic Preparedness Project,1,SAR,Bangladesh,GGHVP,SARVP,HSADR,"Health, Nutrition & Population",,"Zhao, Feng",Iffat Mahmud (ADM);Shiyong Wang,SACBD,HSAHP,2021,Q3,A,BOA,Board Approved,Bank-wide Operations,Y,PE,IPF,N/A,N/A,Y,Y,,Y,,P173757,,ESF,,,,,,Bank Approved,$500.00M,$0.00M,$500.00M,$0.00M,$0.00M,09-Nov-2020,,,,,,27-Jan-2021,A,31-Jan-2021,03-Mar-2021,31-Jan-2021,A,06-Feb-2021,A,19-Feb-2021,A,18-Mar-2021,A,$0.48K,$157.07K,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P173734,Climate Resilient Water Services Project,1,ECA,Kyrgyz Republic,GGSVP,ECAVP,SCADR,Water,"Environment, Natural Resources & the Blue Economy","Yu, Winston",Odete Muximpua (ADM);Abdulhamid Azad;Aidai Bayalieva,ECCCA,SCAWA,2022,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Substantial,Substantial,Substantial,M,,Bank Approved,$100.00M,$0.00M,$100.00M,$0.00M,$0.00M,07-Apr-2020,30-Jun-2021,A,30-Jun-2021,28-Jun-2021,09-Dec-2021,31-Jan-2022,A,18-Feb-2022,15-Apr-2022,03-Feb-2022,A,25-Feb-2022,A,25-Mar-2022,A,15-Apr-2022,A,$326.71K,"$1,193.75K",N,,,,,,,No,,Yes,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P179009,GAS SECTOR EFFICIENCY IMPROVEMENT AND CARBON ABATEMENT PROJECT,1,SAR,Bangladesh,GGIVP,SARVP,ISADR,Energy & Extractives,,"Stolp, Simon J.",M Towhid Mowla (ADM),SACBB,ISAE2,2024,Q1,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Moderate,Moderate,Moderate,M,,Bank Approved,$300.00M,$0.00M,$300.00M,$0.00M,$0.00M,26-Apr-2022,23-Jun-2022,A,14-Jul-2022,12-Jul-2022,17-Nov-2022,15-Dec-2022,A,18-Jan-2023,27-Jul-2023,24-Feb-2023,A,18-May-2023,A,28-Jun-2023,A,27-Jul-2023,A,$112.62K,$797.31K,N,,,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176369,Shock Responsive Safety Net for Locust Response Project Additional Financing,1,AFE,Somalia,GGHVP,AFEVP,HAEDR,Social Protection & Jobs,,"Namara, Suleiman",Afrah Al-Ahmadi (ADM);Nadia Selim,AECE2,HAES2,2021,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,N/A,Y,Y,,Y,,P174065,,ESF,,,,,,Bank Approved,$75.00M,$0.00M,$75.00M,$0.00M,$0.00M,24-Mar-2021,,,,,,22-Apr-2021,A,07-May-2021,17-Jun-2021,07-May-2021,A,11-May-2021,A,04-Jun-2021,A,17-Jun-2021,A,,$1.24K,N,,Yes,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P178100,Second Additional Financing for the Mauritania COVID-19 Strategic Preparedness and Response Project (SPRP),1,AFW,Mauritania,GGHVP,AFWVP,HAWDR,"Health, Nutrition & Population",,"Zine Eddine El Idrissi, My Driss",Fatoumata Barry (ADM);Mohamed Taleb El Hassen,AWCF1,HAWH2,2022,Q2,A,RVP,Draft,Decision Meeting,,PE,IPF,N/A,N/A,Y,Y,,Y,,P173837,,ESF,,,,,,Bank Approved,$20.00M,$0.00M,$20.00M,$0.00M,$0.00M,27-Oct-2021,,,,,,30-Nov-2021,A,13-Dec-2021,23-Dec-2021,09-Dec-2021,A,15-Dec-2021,A,23-Dec-2021,A,23-Dec-2021,A,,$1.92K,N,,,,,,Yes,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
P176687,Dili Water Supply Project,1,EAP,Timor-Leste,GGSVP,EAPVP,SEADR,Water,"Climate Change Fragile, Conflict & Violence Health, Nutrition & Population Urban, Resilience and Land","Sotomayor Araujo, Maria Angelica",Karen Navarro Rios (ADM);Shona Fitzgerald,EAITL,SEAW1,2022,Q4,A,BOA,Board Approved,Decision Meeting,,PE,IPF,N/A,2,N,N,N,N,,,,ESF,Substantial,Substantial,Substantial,H,,Bank Approved,$121.00M,$0.00M,$121.00M,$0.00M,$0.00M,25-Mar-2021,13-Sep-2021,A,22-Sep-2021,21-Sep-2021,15-Feb-2022,14-Mar-2022,A,05-Apr-2022,25-May-2022,22-Mar-2022,A,08-Apr-2022,A,03-May-2022,A,25-May-2022,A,$31.24K,$865.94K,N,,Yes,,,,,No,,No,No,,,"2,151","$350,672.71M","$168,036.72M","$169,660.55M","$12,975.44M","$8,304.47M","$290,563.17K","$2,120,342.96K"
